gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
TNFSF11,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.9729,2.068e-82,3.956,0.0006502,27.0701
TNFAIP3,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.9103,5.694e-34,3.2947,0.0095,27.0604
CDKN1A,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.6917,3.689e-16,4.1537,0.0303,27.024
SYNE2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.6445,7.971e-59,2.2157,0.0025,26.8898
JAK2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.7318,6.006e-86,2.8071,0.0025,26.8764
RRAS2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.2625,1.482e-16,2.5487,0.0003376,26.8496
ZBTB1,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-17.1913,3.16e-16,4.5639,0.0038,26.832
ADCY3,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.3935,1.695e-21,2.6869,0.0141,26.785
NSUN6,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.3673,7.385e-16,4.1537,0.0303,26.6634
IL2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.0032,1.137e-121,2.5496,0.0184,26.5807
IL2RA,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.1827,3.132e-20,4.8979,0.0005224,26.5223
JAK2,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-21.8893,6.006e-86,2.8934,0.0048,26.5199
CCR2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.0693,2.381e-34,2.8071,0.0025,26.4947
CTLA4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.6966,6.028e-69,2.5487,0.0003376,26.4101
SMAD3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-3.3054,2.09e-100,3.0405,5.05e-06,26.3553
TIAM1,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.5819,0.0,2.018,0.0124,26.352
SESN1,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.1965,1.345e-57,3.0645,0.0018,26.3007
EDARADD,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.8172,1.316e-14,3.0405,5.05e-06,26.2467
CBLB,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.9917,1.747e-300,2.6365,0.0057,26.1607
IL18RAP,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.1073,5.129e-36,3.7403,0.0025,26.109
NR3C1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.7828,2.861e-60,2.2219,0.0025,26.0724
NCALD,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.5737,3.042e-78,2.018,0.0124,26.0527
IL18R1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.0353,5.042e-43,2.018,0.0124,26.003
CTLA4,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.3031,6.028e-69,2.3196,0.002,25.9659
FYN,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-4.2214,1.077e-30,2.2219,0.0025,25.9135
IRF8,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.2124,2.153e-101,2.5487,0.0003376,25.891
CRTAP,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.4097,6.113e-16,2.3613,0.0198,25.8309
BCL2L11,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.6302,1.208e-22,2.8071,0.0025,25.7821
BCL2L11,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.7842,1.208e-22,2.5496,0.0184,25.7122
DST,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.6828,2.034e-17,2.3196,0.002,25.6984
IL2RA,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3273,3.132e-20,4.5639,0.0038,25.6887
CDKN1A,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.5757,3.689e-16,2.2933,0.0496,25.6512
IL2,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.1784,1.137e-121,3.956,0.0006502,25.5739
RORC,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.4177,5.642e-18,3.2147,0.0117,25.3102
SLC43A3,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.4506,1.21e-17,2.2219,0.005,25.0168
